27.08.1999, Эсвель Эвенвуд, f, 53188, Либерти-Сити
05.13.2002, Козеф Дотск, m, 839170, Эглоу
21.12.1977, Корза Хен'Дадик, f, 80000, Куахог
02.10.2009, Энна Упавшая Звезда, F, 162299, Лоххаузен
26.09.1987, Диньзее Вулу, m, 227542, Арканар
15.08.1995, Энна Упавшая Звезда, f, 426653, Пндапецим
24.08.1990, Алстон Заффраб Плащ, f, 547243, Каркоза
25.04.1991, Хасеид Рейн, m, 648839, Изумрудный город
17.11.2000, Вренн, F, 15148, Каркоза
08.06.1985, Зашеир Думеин, f, 215605, Зурбаган
28.05.1996, Кхемед Пашар, m, 300900, Лаленбург
05.05.1987, Ольга Хорнрейвен, f, 557086, Аттилан
25.06.1988, Чао Кунг, m, 24886, Куахог
28.09.1995, Корза Хен'Дадик, f, 180420, Твин Пикс
09.04.2009, Ольга Хорнрейвен, f, 416748, Спрингфилд
15.06.2002, Айвор Немецк, F, 68082, Куахог
07.01.1975, Кхемед Пашар, M, 829744, Спрингфилд
17.08.1986, Айвор Немецк, F, 542796, Хилл-Вэлли
11.02.1983, Эсвель Эвенвуд, F, 59971, Куахог
06.13.2002, Медис Фрахдрандон, m, 526256, Лапута
22.11.2003, Орел Немецк, M, 708355, Южный Парк
09.02.1976, Хама Баша, f, 310035, Южный Парк
15.04.1990, Кехур Серпет, M, 377536, Эглоу
26.04.1978, Эрин Сианодель (Лунный Ручей), m, 98055, Спрингфилд
25.03.1989, Эрин Сианодель (Лунный Ручей), F, 145473, Спрингфилд
03.08.2009, Козеф Дотск, M, 474579, Вайс-Сити
25.12.1997, Найвара Коэлана, f, 199806, Твин Пикс
05.05.2006, Энна Упавшая Звезда, f, 813536, Лаленбург
12.11.1994, Медис Фрахдрандон, F, 511670, Вайс-Сити
16.05.2004, Аль Толстаг, f, 872849, Город грехов
23.04.1985, Фрити Анкхалаб, F, 806492, Анк-Морпорк
11.07.1979, Айвор Марск, f, 880750, Либерти-Сити
08.13.2000, Ивридда Айронфут, m, 88995, Касл-Рок
04.04.2004, Фран Алгой, F, 46603, Спрингфилд
25.02.1978, Зора Чернин, M, 878745, Лаленбург
04.04.1979, Кривоухий Шестенделиат, m, 848793, Спрингфилд
02.09.1994, Иеруша Талаф, F, 875037, Куахог
11.04.2004, Зашеир Думеин, F, 638528, Мензоберранзан
18.11.1976, Айвор Немецк, M, 800063, Лоххаузен
06.10.2003, Айвор Немецк, M, 195238, Твин Пикс
09.02.1994, Барерис Фезим, f, 767813, Спрингфилд
27.06.1995, Хасеид Мостана, f, 45220, Южный Парк
