08.12.2006, Иеруша Хен'Тат, m, 156290, Арканар
02.12.1989, Ана Калабра, m, 465584, Арканар
03.02.1995, Элдон Bulty, m, 619576, Куахог
06.01.2005, Корза Хен'Дадик, f, 454652, Куахог
16.09.2005, Чао Кунг, m, 143658, Пндапецим
22.04.1992, Алстон Заффраб Плащ, f, 828914, Изумрудный город
05.07.1990, Витглен Хетингтон, M, 666858, Твин Пикс
19.11.2001, Элдон Bulty, m, 230496, Твин Пикс
02.08.2002, Кехур Серпет, F, 247391, Лоххаузен
03.04.1988, Вуресси Акамбхериллиакс, F, 810261, Аттилан
21.07.1992, Балама Домине, f, 341818, Твин Пикс
19.02.1997, Иммит Оба, f, 294913, Лаленбург
13.10.2002, Хасеид Мостана, F, 704795, Кэр-Паравель
20.01.2008, Фанатик Бекрашесс, m, 291171, Пндапецим
06.01.1995, Элли Белдер, f, 695643, Город грехов
10.12.1991, Айвор Марск, M, 405158, Вайс-Сити
20.13.2000, Хама Баша, f, 424745, Либерти-Сити
11.03.2006, Витглен Хетингтон, F, 889399, Каркоза
17.06.1988, Шлорх Зиалео, F, 352735, Спрингфилд
11.02.1980, Менг Шин, F, 131489, Касл-Рок
26.08.1991, Шлорх Зиалео, f, 674383, Пндапецим
06.01.1989, Кеддикай Хун'Дадик, M, 414980, Вайс-Сити
21.12.1980, Фран Алгой, F, 494583, Анк-Морпорк
11.07.1991, Вренн, m, 729972, Великий Гусляр
12.05.1990, Файварра Мурнитара, M, 181230, Анк-Морпорк
05.06.1981, Линзеюн Итуоа, F, 127298, Изумрудный город
28.02.1984, Айвор Марск, M, 298696, Кэр-Паравель
09.03.1991, Цзюн Лао, M, 311230, Либерти-Сити
13.02.1991, Хасеид Рейн, f, 557405, Город грехов
19.09.2004, Найвара Коэлана, f, 241994, Арканар
05.02.2008, Ивридда Айронфут, M, 259100, Пндапецим
19.09.1976, Зашеир Думеин, M, 147416, Анк-Морпорк
13.02.1990, Элдон Bulty, F, 53084, Либерти-Сити
05.07.1994, Кривоухий Шестенделиат, m, 540479, Зурбаган
13.04.1990, Делин Рунтроп, f, 868190, Лоххаузен
02.03.1990, Хасеид Рейн, M, 823281, Эглоу
23.03.1997, Со-Кехур Анкхалаб, M, 171814, Каркоза
13.04.2007, Линзеюн Итуоа, M, 201857, Анк-Морпорк
23.08.1979, Корза Хен'Дадик, F, 23873, Лоххаузен
13.02.2001, Эсвель Эвенвуд, f, 677190, Вайс-Сити
05.01.1984, Кеддикай Хун'Дадик, M, 491856, Зурбаган
18.09.1999, Хама Баша, m, 484480, Твин Пикс
08.11.1988, Со-Кехур Анкхалаб, M, 767345, Город грехов
03.06.2005, Шлорх Зиалео, F, 321191, Касл-Рок
23.08.2007, Делин Рунтроп, m, 580488, Либерти-Сити
25.13.2007, Айвор Немецк, m, 311141, Арглтон
11.07.1987, Иеруша Талаф, f, 436844, Аттилан
17.03.1984, Кеддикай Хун'Дадик, f, 891876, Изумрудный город
18.11.2006, Зашеир Думеин, M, 890407, Аттилан
24.08.2002, Иммит Оба, F, 820304, Арглтон
